close,epoch,high,low,open,volume
449.14,1783808100,451.56,449.14,451.56,1.0
452.23,1783808400,452.44,448.91,448.97,1.0
452.72,1783808700,453.65,452.23,452.23,1.0
456.69,1783809000,456.7,452.39,452.62,1.0
455.47,1783809300,457.58,455.15,456.89,1.0
455.66,1783809600,455.77,453.85,455.52,1.0
456.32,1783809900,456.78,454.78,455.74,1.0
457.68,1783810200,457.81,455.74,456.63,1.0
458.93,1783810500,458.93,456.95,457.69,1.0
459.74,1783810800,460.67,458.76,458.95,1.0
459.48,1783811100,460.27,458.31,459.73,1.0
461.01,1783811400,461.36,459.06,459.51,1.0
460.41,1783811700,461.37,459.7,461.02,1.0
460.27,1783812000,461.01,459.07,460.38,1.0
461.83,1783812300,462.78,459.96,460.31,1.0
461.47,1783812600,462.37,461.17,461.88,1.0
461.31,1783812900,462.09,460.8,461.33,1.0
461.79,1783813200,462.72,460.71,461.15,1.0
465.12,1783813500,465.12,461.84,461.84,1.0
464.62,1783813800,466.29,464.53,465.16,1.0
465.17,1783814100,465.32,463.93,464.42,1.0
467.01,1783814400,467.29,464.74,464.93,1.0
466.51,1783814700,466.83,465.63,466.76,1.0
468.26,1783815000,468.26,465.75,466.69,1.0
466.53,1783815300,468.15,466.46,468.08,1.0
465.88,1783815600,466.88,465.05,466.64,1.0
466.07,1783815900,466.63,465.37,465.96,1.0
467.01,1783816200,467.39,463.97,466.08,1.0
466.89,1783816500,467.96,466.14,467.06,1.0
466.43,1783816800,467.83,465.86,466.88,1.0
467.73,1783817100,467.92,466.08,466.22,1.0
466.35,1783817400,467.93,465.95,467.79,1.0
466.83,1783817700,467.95,466.0,466.17,1.0
467.21,1783818000,467.69,466.17,466.85,1.0
467.71,1783818300,468.21,466.75,467.19,1.0
467.3,1783818600,467.98,466.42,467.87,1.0
467.42,1783818900,468.42,466.52,467.41,1.0
466.63,1783819200,467.92,466.4,467.34,1.0
465.49,1783819500,466.68,465.45,466.68,1.0
462.87,1783819800,465.92,462.6,465.69,1.0
463.79,1783820100,464.48,462.83,462.96,1.0
462.99,1783820400,463.78,461.67,463.78,1.0
464.08,1783820700,464.45,463.07,463.07,1.0
464.69,1783821000,465.15,463.44,463.92,1.0
464.48,1783821300,464.89,463.83,464.89,1.0
464.8,1783821600,464.89,463.48,464.47,1.0
462.59,1783821900,465.34,462.04,464.94,1.0
463.86,1783822200,465.1,461.94,462.72,1.0
464.67,1783822500,465.15,463.68,463.9,1.0
463.42,1783822800,465.13,462.64,464.68,1.0
462.44,1783823100,463.46,461.92,463.24,1.0
461.71,1783823400,462.53,460.38,462.41,1.0
461.77,1783823700,461.93,460.17,461.55,1.0
465.08,1783824000,465.08,461.95,462.06,1.0
465.19,1783824300,466.4,464.78,465.14,1.0
467.12,1783824600,467.83,465.18,465.18,1.0
466.25,1783824900,467.43,465.39,466.94,1.0
464.52,1783825200,466.18,464.25,466.1,1.0
461.18,1783825500,464.57,461.15,464.39,1.0
461.07,1783825800,461.33,460.25,461.16,1.0
460.61,1783826100,461.24,459.5,460.89,1.0
461.47,1783826400,461.58,459.32,460.52,1.0
461.78,1783826700,463.08,460.58,461.23,1.0
461.97,1783827000,462.79,461.42,461.98,1.0
463.82,1783827300,463.82,462.02,462.1,1.0
461.78,1783827600,463.75,461.34,463.74,1.0
461.37,1783827900,461.71,460.45,461.52,1.0
461.62,1783828200,463.22,460.98,461.25,1.0
462.46,1783828500,463.25,461.34,461.53,1.0
464.23,1783828800,464.74,462.36,462.54,1.0
464.02,1783829100,465.39,463.5,464.19,1.0
462.52,1783829400,464.43,461.56,464.1,1.0
464.25,1783829700,464.93,461.64,462.54,1.0
462.43,1783830000,464.77,461.64,464.26,1.0
461.41,1783830300,462.74,461.13,462.51,1.0
459.78,1783830600,461.82,458.75,461.37,1.0
462.37,1783830900,462.65,459.78,459.88,1.0
463.83,1783831200,463.94,460.84,462.24,1.0
460.8,1783831500,463.82,460.43,463.75,1.0
461.52,1783831800,461.52,459.29,460.95,1.0
463.26,1783832100,463.32,461.32,461.42,1.0
463.68,1783832400,463.97,462.28,463.11,1.0
464.85,1783832700,464.94,463.53,463.73,1.0
464.49,1783833000,465.73,464.43,464.96,1.0
465.04,1783833300,466.29,464.34,464.61,1.0
465.98,1783833600,466.2,464.58,465.0,1.0
467.42,1783833900,467.44,465.33,465.95,1.0
470.3,1783834200,470.68,467.33,467.48,1.0
468.15,1783834500,470.22,468.1,470.18,1.0
468.23,1783834800,468.53,466.36,468.18,1.0
467.58,1783835100,468.48,465.69,468.48,1.0
468.52,1783835400,468.66,467.34,467.73,1.0
468.23,1783835700,469.0,467.6,468.57,1.0
470.21,1783836000,470.59,467.88,468.25,1.0
472.73,1783836300,473.02,470.33,470.33,1.0
471.53,1783836600,473.87,471.44,472.85,1.0
470.46,1783836900,472.01,469.94,471.65,1.0
471.5,1783837200,472.23,470.55,470.55,1.0
471.38,1783837500,472.73,471.03,471.35,1.0
470.92,1783837800,472.1,470.61,471.35,1.0
472.06,1783838100,472.47,470.48,470.73,1.0
469.87,1783838400,472.31,469.65,472.01,1.0
468.15,1783838700,470.21,467.72,469.76,1.0
468.29,1783839000,469.95,467.82,468.01,1.0
469.44,1783839300,469.75,468.1,468.1,1.0
469.22,1783839600,470.54,468.79,469.4,1.0
467.65,1783839900,469.7,467.54,469.35,1.0
467.55,1783840200,468.5,467.13,467.6,1.0
465.13,1783840500,468.13,465.13,467.39,1.0
466.2,1783840800,466.36,464.75,465.13,1.0
465.84,1783841100,466.87,465.66,466.27,1.0
468.41,1783841400,468.69,465.73,465.73,1.0
465.61,1783841700,468.92,465.61,468.32,1.0
465.56,1783842000,466.39,464.89,465.64,1.0
463.69,1783842300,465.71,462.92,465.71,1.0
465.19,1783842600,465.71,463.59,463.59,1.0
464.32,1783842900,466.22,464.14,465.45,1.0
462.79,1783843200,465.0,462.47,464.31,1.0
466.44,1783843500,466.68,462.88,462.99,1.0
466.5,1783843800,467.72,465.51,466.34,1.0
465.91,1783844100,468.02,465.64,466.4,1.0
464.62,1783844400,466.28,464.32,466.05,1.0
464.05,1783844700,465.32,463.54,464.58,1.0
465.3,1783845000,465.3,463.97,464.13,1.0
467.01,1783845300,467.01,464.99,465.47,1.0
468.61,1783845600,469.52,466.92,466.92,1.0
468.71,1783845900,469.25,467.54,468.54,1.0
468.5,1783846200,469.48,468.25,468.76,1.0
472.43,1783846500,472.43,468.08,468.4,1.0
471.34,1783846800,472.57,471.18,472.48,1.0
472.74,1783847100,473.31,470.57,471.28,1.0
472.84,1783847400,473.0,471.63,472.69,1.0
472.18,1783847700,473.02,471.53,472.56,1.0
472.63,1783848000,473.27,471.12,472.07,1.0
472.71,1783848300,473.13,472.33,472.79,1.0
473.98,1783848600,474.74,472.57,472.57,1.0
472.87,1783848900,473.89,471.7,473.82,1.0
474.4,1783849200,474.68,472.65,472.93,1.0
473.68,1783849500,474.94,473.54,474.39,1.0
475.33,1783849800,476.68,473.79,473.79,1.0
475.35,1783850100,475.9,474.5,475.48,1.0
476.65,1783850400,476.74,474.03,475.2,1.0
477.0,1783850700,477.51,475.36,476.89,1.0
474.51,1783851000,477.4,474.39,477.02,1.0
476.27,1783851300,476.46,474.45,474.47,1.0
476.06,1783851600,476.21,474.51,476.21,1.0
475.58,1783851900,476.32,474.55,475.98,1.0
474.01,1783852200,475.9,474.01,475.65,1.0
474.91,1783852500,475.21,473.46,474.16,1.0
473.6,1783852800,475.11,473.44,474.89,1.0
472.46,1783853100,474.45,472.17,473.71,1.0
470.74,1783853400,473.34,470.47,472.55,1.0
469.21,1783853700,471.4,468.15,470.88,1.0
470.51,1783854000,471.69,469.23,469.28,1.0
470.13,1783854300,470.69,468.86,470.51,1.0
470.07,1783854600,471.01,469.18,470.16,1.0
470.17,1783854900,470.52,469.1,469.93,1.0
468.81,1783855200,470.47,468.26,470.15,1.0
470.21,1783855500,470.21,468.22,468.88,1.0
469.29,1783855800,470.77,468.88,470.18,1.0
471.11,1783856100,471.11,468.65,469.12,1.0
470.68,1783856400,471.36,468.68,471.18,1.0
472.7,1783856700,473.16,469.35,470.63,1.0
473.83,1783857000,473.83,471.69,472.53,1.0
475.68,1783857300,475.87,473.82,473.89,1.0
474.92,1783857600,476.58,474.92,475.54,1.0
475.11,1783857900,475.77,474.04,474.67,1.0
478.49,1783858200,478.58,474.78,475.0,1.0
478.54,1783858500,479.36,477.49,478.61,1.0
476.3,1783858800,478.66,475.14,478.47,1.0
475.83,1783859100,476.92,475.04,476.26,1.0
477.0,1783859400,477.88,475.17,475.8,1.0
474.01,1783859700,477.17,473.89,477.08,1.0
474.44,1783860000,474.99,473.64,473.9,1.0
476.04,1783860300,476.51,473.35,474.41,1.0
477.2,1783860600,477.52,475.83,476.0,1.0
478.52,1783860900,478.98,477.09,477.15,1.0
478.21,1783861200,479.0,477.84,478.63,1.0
479.1,1783861500,479.35,476.83,478.15,1.0
480.12,1783861800,481.06,478.76,479.32,1.0
480.94,1783862100,481.71,480.12,480.36,1.0
480.03,1783862400,480.99,479.67,480.96,1.0
479.46,1783862700,480.67,479.22,480.07,1.0
480.05,1783863000,480.25,479.19,479.77,1.0
480.47,1783863300,482.6,479.81,479.98,1.0
477.62,1783863600,480.35,476.82,480.34,1.0
478.04,1783863900,478.21,477.11,477.59,1.0
478.36,1783864200,478.95,477.96,478.09,1.0
477.49,1783864500,478.64,476.93,478.59,1.0
478.36,1783864800,478.82,476.12,477.55,1.0
479.57,1783865100,480.22,477.9,478.28,1.0
480.14,1783865400,480.85,478.7,479.53,1.0
477.98,1783865700,479.89,477.78,479.85,1.0
478.73,1783866000,479.1,476.96,478.32,1.0
481.12,1783866300,481.23,478.67,478.78,1.0
481.8,1783866600,482.49,480.55,481.08,1.0
480.53,1783866900,481.97,479.69,481.86,1.0
481.71,1783867200,482.6,480.33,480.6,1.0
482.11,1783867500,482.18,480.36,481.76,1.0
481.7,1783867800,483.03,481.7,481.88,1.0
482.79,1783868100,482.79,481.07,481.44,1.0
483.33,1783868400,484.19,482.82,482.92,1.0
482.7,1783868700,483.73,482.29,483.32,1.0
482.79,1783869000,483.36,482.19,482.71,1.0
482.83,1783869300,483.26,481.31,482.57,1.0
482.89,1783869600,484.41,482.29,482.84,1.0
482.39,1783869900,483.56,481.58,482.83,1.0
482.97,1783870200,483.47,481.61,482.37,1.0
481.01,1783870500,483.31,480.99,482.99,1.0
480.15,1783870800,481.79,480.15,480.96,1.0
479.33,1783871100,480.69,478.77,480.33,1.0
479.01,1783871400,479.93,477.84,479.33,1.0
479.02,1783871700,479.96,478.17,478.92,1.0
476.69,1783872000,479.49,476.27,478.96,1.0
477.93,1783872300,478.19,476.33,476.84,1.0
477.33,1783872600,478.48,477.26,477.92,1.0
477.95,1783872900,478.32,476.66,477.35,1.0
479.75,1783873200,480.15,477.85,477.85,1.0
480.26,1783873500,480.36,479.16,479.85,1.0
479.75,1783873800,480.67,478.03,480.22,1.0
479.42,1783874100,480.26,478.94,479.85,1.0
478.47,1783874400,479.57,477.52,479.43,1.0
477.47,1783874700,479.42,477.47,478.24,1.0
475.56,1783875000,477.93,475.14,477.49,1.0
475.25,1783875300,476.21,474.38,475.72,1.0
474.42,1783875600,475.3,473.76,475.16,1.0
476.45,1783875900,477.14,474.41,474.65,1.0
476.97,1783876200,477.53,475.59,476.46,1.0
476.73,1783876500,477.44,476.06,476.86,1.0
477.92,1783876800,478.19,476.61,476.79,1.0
479.14,1783877100,479.14,477.47,478.01,1.0
479.29,1783877400,480.19,478.64,479.23,1.0
480.15,1783877700,480.57,478.99,479.23,1.0
482.09,1783878000,482.09,479.45,480.16,1.0
480.6,1783878300,482.54,480.19,482.07,1.0
484.04,1783878600,484.07,480.59,480.59,1.0
483.71,1783878900,484.61,482.83,484.06,1.0
482.51,1783879200,484.54,482.29,483.63,1.0
483.16,1783879500,483.16,481.17,482.68,1.0
480.0,1783879800,483.8,479.92,483.32,1.0
478.05,1783880100,480.34,477.98,479.94,1.0
479.62,1783880400,479.89,477.93,478.02,1.0
481.1,1783880700,481.35,479.05,479.43,1.0
480.41,1783881000,481.09,479.55,481.05,1.0
481.19,1783881300,481.45,479.59,480.5,1.0
480.22,1783881600,482.31,480.22,481.13,1.0
478.71,1783881900,480.83,478.47,480.24,1.0
479.31,1783882200,480.34,478.61,478.65,1.0
480.16,1783882500,481.46,479.31,479.31,1.0
481.47,1783882800,481.91,479.18,480.21,1.0
481.87,1783883100,482.19,480.91,481.52,1.0
481.01,1783883400,481.89,479.41,481.85,1.0
479.6,1783883700,481.09,478.69,481.09,1.0
481.06,1783884000,481.4,479.14,479.71,1.0
479.42,1783884300,481.87,479.05,481.06,1.0
481.35,1783884600,481.67,478.54,479.32,1.0
480.4,1783884900,482.07,480.14,481.38,1.0
482.25,1783885200,483.34,480.31,480.48,1.0
483.98,1783885500,483.99,481.19,482.43,1.0
484.91,1783885800,484.91,483.36,484.03,1.0
485.41,1783886100,485.47,484.28,484.93,1.0
