close,epoch,high,low,open,volume
1.14216,1783691100,1.1426,1.14214,1.14259,1.0
1.14221,1783691400,1.14246,1.14212,1.14216,1.0
1.14208,1783691700,1.14221,1.14196,1.1422,1.0
1.14186,1783692000,1.14208,1.14168,1.14208,1.0
1.14203,1783692300,1.14205,1.14179,1.14186,1.0
1.14237,1783692600,1.14237,1.14195,1.14203,1.0
1.14229,1783692900,1.14237,1.14206,1.14237,1.0
1.14248,1783693200,1.1426,1.14224,1.1423,1.0
1.14262,1783693500,1.14267,1.14241,1.14244,1.0
1.14203,1783693800,1.14282,1.14127,1.14262,1.0
1.14206,1783694100,1.14239,1.14183,1.14202,1.0
1.14206,1783694400,1.14227,1.14202,1.14207,1.0
1.14217,1783694700,1.14231,1.14197,1.14206,1.0
1.14223,1783695000,1.14225,1.14203,1.14217,1.0
1.14225,1783695300,1.14229,1.14186,1.14223,1.0
1.14239,1783695600,1.1425,1.14215,1.14225,1.0
1.14268,1783695900,1.14277,1.14231,1.14238,1.0
1.14266,1783696200,1.14288,1.1426,1.14268,1.0
1.14313,1783696500,1.14324,1.14266,1.14266,1.0
1.14319,1783696800,1.14347,1.14312,1.14314,1.0
1.14329,1783697100,1.1434,1.14313,1.14319,1.0
1.14334,1783697400,1.14339,1.14323,1.14331,1.0
1.14349,1783697700,1.1435,1.14319,1.14336,1.0
1.14315,1783698000,1.14349,1.14315,1.14349,1.0
1.14334,1783698300,1.14339,1.14316,1.14316,1.0
1.14359,1783698600,1.14361,1.14329,1.14332,1.0
1.14377,1783698900,1.1439,1.14355,1.14359,1.0
1.14374,1783699200,1.14386,1.14363,1.14377,1.0
1.14383,1783699500,1.14387,1.14363,1.14374,1.0
1.14397,1783699800,1.14404,1.14371,1.14384,1.0
1.14374,1783700100,1.14413,1.14372,1.14397,1.0
1.14384,1783700400,1.14389,1.1436,1.14373,1.0
1.14394,1783700700,1.14395,1.14383,1.14384,1.0
1.14369,1783701000,1.14395,1.14368,1.14393,1.0
1.14368,1783701300,1.14378,1.14359,1.14369,1.0
1.14347,1783701600,1.14382,1.14347,1.14368,1.0
1.14346,1783701900,1.14354,1.1434,1.14347,1.0
1.14326,1783702200,1.14356,1.14318,1.14341,1.0
1.14297,1783702500,1.14332,1.14296,1.14326,1.0
1.14281,1783702800,1.14312,1.14278,1.14297,1.0
1.14264,1783703100,1.14285,1.14262,1.14281,1.0
1.14274,1783703400,1.14282,1.14262,1.14264,1.0
1.14245,1783703700,1.14278,1.14241,1.14274,1.0
1.1423,1783704000,1.14251,1.1423,1.14245,1.0
1.14248,1783704300,1.14248,1.14224,1.14229,1.0
1.14231,1783704600,1.14249,1.14227,1.14249,1.0
1.14206,1783704900,1.14231,1.14202,1.14231,1.0
1.14217,1783705200,1.14223,1.14205,1.14206,1.0
1.14221,1783705500,1.14228,1.14216,1.14217,1.0
1.14212,1783705800,1.14226,1.14208,1.14221,1.0
1.14179,1783706100,1.14214,1.14167,1.14212,1.0
1.14172,1783706400,1.14182,1.14161,1.14178,1.0
1.14163,1783706700,1.14174,1.14159,1.14172,1.0
1.14167,1783707000,1.14179,1.14162,1.14163,1.0
1.14163,1783707300,1.14171,1.14158,1.14167,1.0
1.14144,1783707600,1.14171,1.14143,1.14163,1.0
1.14147,1783707900,1.14166,1.14143,1.14144,1.0
1.14157,1783708200,1.14159,1.14137,1.14147,1.0
1.14142,1783708500,1.14164,1.14137,1.14157,1.0
1.1413,1783708800,1.14142,1.14119,1.14142,1.0
1.14152,1783709100,1.14152,1.1413,1.1413,1.0
1.14155,1783709400,1.14162,1.14148,1.14153,1.0
1.14165,1783709700,1.14165,1.14142,1.14155,1.0
1.14149,1783710000,1.14165,1.14148,1.14165,1.0
1.14154,1783710300,1.14156,1.14144,1.14149,1.0
1.14151,1783710600,1.14154,1.14142,1.14152,1.0
1.14163,1783710900,1.14165,1.14149,1.14151,1.0
1.14162,1783711200,1.14165,1.14156,1.14163,1.0
1.14162,1783711500,1.14165,1.14155,1.14162,1.0
1.14152,1783711800,1.14169,1.14152,1.1416,1.0
1.1415,1783712100,1.14162,1.14148,1.14152,1.0
1.1415,1783712400,1.14163,1.14148,1.14149,1.0
1.14143,1783712700,1.14153,1.1414,1.1415,1.0
1.14148,1783713000,1.14149,1.14142,1.14144,1.0
1.1416,1783713300,1.14169,1.14147,1.14148,1.0
1.14179,1783713600,1.14182,1.14159,1.14159,1.0
1.14144,1783713900,1.14183,1.14144,1.14179,1.0
1.14158,1783714200,1.14159,1.14145,1.14145,1.0
1.14167,1783714500,1.14167,1.14155,1.14158,1.0
1.14159,1783714800,1.1417,1.14156,1.14167,1.0
1.14145,1783715100,1.14159,1.1414,1.14159,1.0
1.14131,1783715400,1.14145,1.1413,1.14145,1.0
1.14122,1783715700,1.14133,1.14115,1.14131,1.0
1.14133,1783716000,1.14134,1.14121,1.14122,1.0
1.14136,1783716300,1.14144,1.14131,1.14132,1.0
1.14146,1783716600,1.14148,1.14134,1.14136,1.0
1.14145,1783716900,1.14145,1.14145,1.14145,1.0
1.14029,1783900800,1.14043,1.14013,1.14043,1.0
1.14023,1783901100,1.14043,1.14022,1.14029,1.0
1.14008,1783901400,1.14027,1.14005,1.14024,1.0
1.13982,1783901700,1.14013,1.13979,1.14008,1.0
1.14041,1783902000,1.14053,1.13982,1.13982,1.0
1.14017,1783902300,1.14041,1.14017,1.14041,1.0
1.13993,1783902600,1.14032,1.13993,1.14016,1.0
1.13964,1783902900,1.14007,1.13961,1.13993,1.0
1.13971,1783903200,1.1398,1.13956,1.13964,1.0
1.13966,1783903500,1.13984,1.13966,1.13971,1.0
1.13965,1783903800,1.13978,1.13953,1.13966,1.0
1.13955,1783904100,1.13972,1.13949,1.13962,1.0
1.13925,1783904400,1.13956,1.13921,1.13956,1.0
1.13909,1783904700,1.1393,1.13907,1.13925,1.0
1.13906,1783905000,1.1392,1.13905,1.13909,1.0
1.13915,1783905300,1.13926,1.13906,1.13906,1.0
1.13864,1783905600,1.13918,1.13848,1.13915,1.0
1.13895,1783905900,1.13896,1.13864,1.13864,1.0
1.13902,1783906200,1.13922,1.13892,1.13896,1.0
1.13937,1783906500,1.13952,1.13901,1.13903,1.0
1.13952,1783906800,1.13952,1.1393,1.13937,1.0
1.13972,1783907100,1.13973,1.13948,1.13952,1.0
1.13948,1783907400,1.13975,1.13946,1.13972,1.0
1.13974,1783907700,1.13975,1.13939,1.13948,1.0
1.13943,1783908000,1.13984,1.13935,1.13974,1.0
1.13953,1783908300,1.13957,1.13943,1.13943,1.0
1.13951,1783908600,1.13959,1.1395,1.13954,1.0
1.13953,1783908900,1.13961,1.13944,1.1395,1.0
1.13953,1783909200,1.13962,1.13947,1.13952,1.0
1.13951,1783909500,1.13959,1.13944,1.13953,1.0
1.13954,1783909800,1.13959,1.13944,1.13955,1.0
1.13986,1783910100,1.13993,1.13954,1.13954,1.0
1.13998,1783910400,1.13998,1.13981,1.13986,1.0
1.13972,1783910700,1.13998,1.13968,1.13998,1.0
1.13953,1783911000,1.13972,1.1395,1.13972,1.0
1.13944,1783911300,1.13959,1.13943,1.13954,1.0
1.13928,1783911600,1.13953,1.13923,1.13944,1.0
1.13924,1783911900,1.13928,1.13913,1.13928,1.0
